,timestamp,timezone,humidity,pm_10,pm_2_5,temperature
0,2021-08-16 07:00:00,Asia/Bangkok,97.71206555,6.419446416,5.979461756,24.2209452
1,2021-08-17 07:00:00,Asia/Bangkok,95.92287373,9.716750539,9.14229249,24.80774302
2,2021-08-18 07:00:00,Asia/Bangkok,87.29167185,8.607476636,7.901869159,26.34660069
3,2021-08-19 07:00:00,Asia/Bangkok,86.1241307,11.83213256,10.98955331,27.06205366
4,2021-08-20 07:00:00,Asia/Bangkok,89.5328741,8.965864175,8.201077199,26.20893804
5,2021-08-21 07:00:00,Asia/Bangkok,88.54577381,8.184399712,7.487243981,26.16349124
6,2021-08-22 07:00:00,Asia/Bangkok,80.81750033,9.803597122,9.045323741,28.0713423
7,2021-08-23 07:00:00,Asia/Bangkok,82.08360131,8.666187567,7.958692529,27.90717972
8,2021-08-24 07:00:00,Asia/Bangkok,75.49896066,9.086237873,8.357527848,29.70798435
9,2021-08-25 07:00:00,Asia/Bangkok,86.82851799,6.45212383,5.906047516,26.9480107
10,2021-08-26 07:00:00,Asia/Bangkok,81.05873882,5.928314121,5.548270893,28.35954106
11,2021-08-27 07:00:00,Asia/Bangkok,79.31595493,6.736520489,6.330219188,28.29211041
12,2021-08-28 07:00:00,Asia/Bangkok,85.98652272,9.673631124,9.140850144,27.11230513
13,2021-08-29 07:00:00,Asia/Bangkok,82.11652225,4.637832017,4.280330223,27.28849959
14,2021-08-30 07:00:00,Asia/Bangkok,89.66436898,6.077725801,5.590075512,25.89882297
15,2021-08-31 07:00:00,Asia/Bangkok,81.86187125,9.051420352,8.529665588,27.51912873
16,2021-09-01 07:00:00,Asia/Bangkok,84.92443371,14.04689755,13.24287261,27.34430174
17,2021-09-02 07:00:00,Asia/Bangkok,83.3580688,15.79231046,14.97700323,27.48627095
18,2021-09-03 07:00:00,Asia/Bangkok,81.78280382,22.04204096,20.65109594,27.91787461
19,2021-09-04 07:00:00,Asia/Bangkok,86.92388204,11.8200144,11.08744153,26.91762081
20,2021-09-05 07:00:00,Asia/Bangkok,81.13763542,3.976258993,3.589568345,27.65616803
21,2021-09-06 07:00:00,Asia/Bangkok,86.61448754,7.199279279,6.56592219,26.58633549
22,2021-09-07 07:00:00,Asia/Bangkok,83.55169888,6.930600503,6.414958648,27.47621432
23,2021-09-08 07:00:00,Asia/Bangkok,82.40078678,8.565983459,7.914450036,27.59313063
24,2021-09-09 07:00:00,Asia/Bangkok,84.15039158,13.57225225,12.79682997,27.50957241
25,2021-09-10 07:00:00,Asia/Bangkok,91.24429793,3.863930886,3.539236861,25.38448499
26,2021-09-11 07:00:00,Asia/Bangkok,90.39980265,3.912621359,3.44751977,25.77261938
27,2021-09-12 07:00:00,Asia/Bangkok,83.95003261,4.959205776,4.561213434,26.64054346
28,2021-09-13 07:00:00,Asia/Bangkok,84.06170894,7.233405483,6.591417238,26.87597136
29,2021-09-14 07:00:00,Asia/Bangkok,77.18762677,6.475179856,5.854728515,28.91200917
30,2021-09-15 07:00:00,Asia/Bangkok,92.25400612,22.64067553,20.58010057,24.71360509
31,2021-09-16 07:00:00,Asia/Bangkok,88.26696983,7.885322755,7.406926407,26.72433493
32,2021-09-17 07:00:00,Asia/Bangkok,91.24531011,6.066112717,5.63777537,25.96511134
33,2021-09-18 07:00:00,Asia/Bangkok,88.77814117,4.926523297,4.534767025,26.24336742
34,2021-09-19 07:00:00,Asia/Bangkok,83.06975168,6.159403219,5.636435022,27.77769884
35,2021-09-20 07:00:00,Asia/Bangkok,80.57000796,8.147068906,7.511141584,28.25221234
36,2021-09-21 07:00:00,Asia/Bangkok,83.92956356,10.70083102,9.890235457,26.91071312
37,2021-09-22 07:00:00,Asia/Bangkok,83.57023788,4.822006472,4.305425799,27.08015312
38,2021-09-23 07:00:00,Asia/Bangkok,89.91863486,3.340876437,2.973788151,25.9780205
39,2021-09-24 07:00:00,Asia/Bangkok,91.39619262,4.200651938,3.787033683,25.59033025
40,2021-09-25 07:00:00,Asia/Bangkok,85.07707745,7.56481149,7.046645138,27.37393089
41,2021-09-26 07:00:00,Asia/Bangkok,84.28564506,5.014033825,4.552517986,26.82008866
42,2021-09-27 07:00:00,Asia/Bangkok,92.34658792,1.826258993,1.55,24.74906818
43,2021-09-28 07:00:00,Asia/Bangkok,92.08159623,2.85041352,2.471413161,24.94871408
44,2021-09-29 07:00:00,Asia/Bangkok,85.40684252,8.793078587,8.245854362,26.41223048
45,2021-09-30 07:00:00,Asia/Bangkok,81.2717251,13.19490309,12.42657092,27.9845969
46,2021-10-01 07:00:00,Asia/Bangkok,79.21831339,14.54947823,13.64365336,28.66701439
47,2021-10-02 07:00:00,Asia/Bangkok,91.42010248,12.30794224,11.43161314,25.53886824
48,2021-10-03 07:00:00,Asia/Bangkok,91.5951454,8.644012945,8.008270406,25.3222407
49,2021-10-04 07:00:00,Asia/Bangkok,84.2102015,6.862900324,6.364519611,27.17429377
50,2021-10-05 07:00:00,Asia/Bangkok,84.13307388,12.71479885,11.94969457,27.21742056
51,2021-10-06 07:00:00,Asia/Bangkok,79.3880167,15.00179986,14.19359482,27.8050937
52,2021-10-07 07:00:00,Asia/Bangkok,77.0080678,13.72292191,12.91765552,28.93168186
53,2021-10-08 07:00:00,Asia/Bangkok,82.08026102,15.14023732,14.25215827,27.52295216
54,2021-10-09 07:00:00,Asia/Bangkok,78.54426156,24.51995685,23.20028767,28.30780739
55,2021-10-10 07:00:00,Asia/Bangkok,76.59801764,29.76737486,27.72318215,28.94805823
